"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"caracteristicasDoItem";"materiaisGatheringAtuais";"qtdMateriaisGatheringAtuais";"problemasAtuais";"proposta3Materiais";"materiaisMantidos";"materiaisAdicionados"
"Pistola de Pressão da Refinaria";"Atirador";"MAIN_HAND";"Pistola";"6";"RARE";"Refinaria do Pó Cinzento";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Câmara de Pressão Cinzenta + Válvula de Refinaria";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara de Pressão Cinzenta + Válvula de Refinaria + Cano Industrial Queimado";"Câmara de Pressão Cinzenta, Válvula de Refinaria";"Cano Industrial Queimado"
"Rifle Antimotim Roxo";"Atirador";"MAIN_HAND";"Rifle";"7";"EPIC";"Avenida dos Caídos";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano Balístico de Viatura + Calha de Viatura Blindada";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano Balístico de Viatura + Calha de Viatura Blindada + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Cano Balístico de Viatura, Calha de Viatura Blindada";"Placa Antimotim Recortada (Desmanche T7 Main Hand)"
"Pistola de Patrulha Mutagênica";"Atirador";"MAIN_HAND";"Pistola";"7";"EPIC";"Avenida dos Caídos";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Ferrolho Balístico Roxo + Placa Antimotim Recortada (Desmanche T7 Main Hand)";"2";"usa 2 material(is) de gathering; alvo: 3";"Ferrolho Balístico Roxo + Placa Antimotim Recortada (Desmanche T7 Main Hand) + Cano Balístico de Viatura";"Ferrolho Balístico Roxo, Placa Antimotim Recortada (Desmanche T7 Main Hand)";"Cano Balístico de Viatura"
"Rifle Helix de Precisão";"Atirador";"MAIN_HAND";"Rifle";"8";"EPIC";"Complexo Helix";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Câmara Helix de Disparo + Trilho Experimental Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara Helix de Disparo + Trilho Experimental Helix + Cápsula de Contenção Helix (Contenção T8 Main Hand)";"Câmara Helix de Disparo, Trilho Experimental Helix";"Cápsula de Contenção Helix (Contenção T8 Main Hand)"
"Pistola de Pulso Experimental";"Atirador";"MAIN_HAND";"Pistola";"8";"EPIC";"Complexo Helix";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Emissor de Pulso Helix + Carcaça de Atuador Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Emissor de Pulso Helix + Carcaça de Atuador Helix + Módulo Cerâmico Helix (Contenção T8 Main Hand)";"Emissor de Pulso Helix, Carcaça de Atuador Helix";"Módulo Cerâmico Helix (Contenção T8 Main Hand)"
"Rifle Carmesim da Necrópole";"Atirador";"MAIN_HAND";"Rifle";"9";"LEGENDARY";"Necrópole Industrial";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Cano Titânico Carmesim + Trilho Necroindustrial";"2";"usa 2 material(is) de gathering; alvo: 3";"Cano Titânico Carmesim + Trilho Necroindustrial + Condutor Carmesim de Choque";"Cano Titânico Carmesim, Trilho Necroindustrial";"Condutor Carmesim de Choque"
"Pistola Titânica de Execução";"Atirador";"MAIN_HAND";"Pistola";"9";"LEGENDARY";"Necrópole Industrial";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Núcleo de Disparo Carmesim + Placa Titânica Cortante";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo de Disparo Carmesim + Placa Titânica Cortante + Cano Titânico Carmesim";"Núcleo de Disparo Carmesim, Placa Titânica Cortante";"Cano Titânico Carmesim"
"Rifle do Marco Zero";"Atirador";"MAIN_HAND";"Rifle";"10";"LEGENDARY";"Marco Zero";"cano, gatilho, mira, lente, mola, municao, bolso, capa";"Lâmina Rubra do Marco + Suporte Titânico do Marco";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina Rubra do Marco + Suporte Titânico do Marco + Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"Lâmina Rubra do Marco, Suporte Titânico do Marco";"Núcleo Rubro de Esterilização (Contenção T10 Main Hand)"
"Pistola da Última Bala";"Atirador";"MAIN_HAND";"Pistola";"10";"LEGENDARY";"Marco Zero";"cano, gatilho, mola, capa, mira, carregador, municao, lente";"Lâmina Rubra do Marco + Núcleo de Recuo Titânico";"2";"usa 2 material(is) de gathering; alvo: 3";"Lâmina Rubra do Marco + Núcleo de Recuo Titânico + Trança de Fibra Escarlate (Patrulha T10 Main Hand)";"Lâmina Rubra do Marco, Núcleo de Recuo Titânico";"Trança de Fibra Escarlate (Patrulha T10 Main Hand)"
"Carregador de Lata Amassada";"Atirador";"OFF_HAND";"Carregador";"1";"COMMON";"Subúrbio Silencioso";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Pente de Munição Velho + Bolsa de Munição Rasgada";"2";"usa 2 material(is) de gathering; alvo: 3";"Pente de Munição Velho + Bolsa de Munição Rasgada + Tampa Metálica Amassada";"Pente de Munição Velho, Bolsa de Munição Rasgada";"Tampa Metálica Amassada"
"Carregador de Oficina Oxidado";"Atirador";"OFF_HAND";"Carregador";"2";"COMMON";"Distrito da Ferrugem";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Mola de Carregador Oxidada + Porta-munição Oleoso";"2";"usa 2 material(is) de gathering; alvo: 3";"Mola de Carregador Oxidada + Porta-munição Oleoso + Gatilho de Alarme Oxidado";"Mola de Carregador Oxidada, Porta-munição Oleoso";"Gatilho de Alarme Oxidado"
"Carregador de Triagem Clínica";"Atirador";"OFF_HAND";"Carregador";"3";"UNCOMMON";"Hospital Santa Ruína";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Tambor de Dardos Clínicos + Estojo de Ampolas Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Tambor de Dardos Clínicos + Estojo de Ampolas Rasgado + Lacre Estéril Amarelado";"Tambor de Dardos Clínicos, Estojo de Ampolas Rasgado";"Lacre Estéril Amarelado"
"Carregador de Embarque Rápido";"Atirador";"OFF_HAND";"Carregador";"4";"UNCOMMON";"Terminal dos Esquecidos";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Cartucho de Sinalização + Porta-cartuchos de Bagagem";"2";"usa 2 material(is) de gathering; alvo: 3";"Cartucho de Sinalização + Porta-cartuchos de Bagagem + Cartucho Sanitário de Cabine";"Cartucho de Sinalização, Porta-cartuchos de Bagagem";"Cartucho Sanitário de Cabine"
"Carregador de Quarentena Verde";"Atirador";"OFF_HAND";"Carregador";"5";"RARE";"Zona de Quarentena 9";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Pente Selado Verde + Bolsa Sanitária de Cartuchos";"2";"usa 2 material(is) de gathering; alvo: 3";"Pente Selado Verde + Bolsa Sanitária de Cartuchos + Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"Pente Selado Verde, Bolsa Sanitária de Cartuchos";"Sensor de Gás Verde (Tecnovarredura T5 Off Hand)"
"Carregador de Fuligem Pesada";"Atirador";"OFF_HAND";"Carregador";"6";"RARE";"Refinaria do Pó Cinzento";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Mola Industrial Queimada + Estojo Antióleo";"2";"usa 2 material(is) de gathering; alvo: 3";"Mola Industrial Queimada + Estojo Antióleo + Junta de Vapor Cinzenta";"Mola Industrial Queimada, Estojo Antióleo";"Junta de Vapor Cinzenta"
"Carregador Antimotim Instável";"Atirador";"OFF_HAND";"Carregador";"7";"EPIC";"Avenida dos Caídos";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Casco de Capacete de Motim + Bolsa Tática Rasgada";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Capacete de Motim + Bolsa Tática Rasgada + Emissor de Ruído Instável";"Casco de Capacete de Motim, Bolsa Tática Rasgada";"Emissor de Ruído Instável"
"Carregador Helix Pressurizado";"Atirador";"OFF_HAND";"Carregador";"8";"EPIC";"Complexo Helix";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Cúpula de Proteção Helix + Estojo de Polímero Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Cúpula de Proteção Helix + Estojo de Polímero Helix + Cápsula de Contenção Helix (Contenção T8 Off Hand)";"Cúpula de Proteção Helix, Estojo de Polímero Helix";"Cápsula de Contenção Helix (Contenção T8 Off Hand)"
"Carregador Carmesim da Necrópole";"Atirador";"OFF_HAND";"Carregador";"9";"LEGENDARY";"Necrópole Industrial";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Núcleo Explosivo Carmesim + Rede de Fibra de Munição";"2";"usa 2 material(is) de gathering; alvo: 3";"Núcleo Explosivo Carmesim + Rede de Fibra de Munição + Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"Núcleo Explosivo Carmesim, Rede de Fibra de Munição";"Câmara de Vedação Carmesim (Contenção T9 Off Hand)"
"Carregador do Último Disparo";"Atirador";"OFF_HAND";"Carregador";"10";"LEGENDARY";"Marco Zero";"bolso, municao, cinta, mola, carregador, fita, cano, gatilho";"Placa Titânica do Marco Zero + Envoltório de Fibra Escarlate";"2";"usa 2 material(is) de gathering; alvo: 3";"Placa Titânica do Marco Zero + Envoltório de Fibra Escarlate + Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"Placa Titânica do Marco Zero, Envoltório de Fibra Escarlate";"Núcleo Rubro de Esterilização (Contenção T10 Off Hand)"
"Viseira de Mira Rachada";"Atirador";"HEAD";"Viseira";"1";"COMMON";"Subúrbio Silencioso";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Bolso de Munição Furado + Faixa de Boné Gasto";"2";"usa 2 material(is) de gathering; alvo: 3";"Bolso de Munição Furado + Faixa de Boné Gasto + Lente de Mira Quebrada";"Bolso de Munição Furado, Faixa de Boné Gasto";"Lente de Mira Quebrada"
"Viseira de Oficina Oxidada";"Atirador";"HEAD";"Viseira";"2";"COMMON";"Distrito da Ferrugem";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Porta-cartuchos Oxidado + Tira de Avental de Oficina";"2";"usa 2 material(is) de gathering; alvo: 3";"Porta-cartuchos Oxidado + Tira de Avental de Oficina + Casco de Solda Enferrujado";"Porta-cartuchos Oxidado, Tira de Avental de Oficina";"Casco de Solda Enferrujado"
"Viseira de Triagem Balística";"Atirador";"HEAD";"Viseira";"3";"UNCOMMON";"Hospital Santa Ruína";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Estojo de Dardos Clínicos + Touca de Resgate Reforçada";"2";"usa 2 material(is) de gathering; alvo: 3";"Estojo de Dardos Clínicos + Touca de Resgate Reforçada + Vedação de Máscara Clínica";"Estojo de Dardos Clínicos, Touca de Resgate Reforçada";"Vedação de Máscara Clínica"
"Viseira de Embarque Tático";"Atirador";"HEAD";"Viseira";"4";"UNCOMMON";"Terminal dos Esquecidos";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Bolsa de Cartuchos de Sinalização + Tira de Bagageiro Acolchoada";"2";"usa 2 material(is) de gathering; alvo: 3";"Bolsa de Cartuchos de Sinalização + Tira de Bagageiro Acolchoada + Filtro de Cabine Amarelado";"Bolsa de Cartuchos de Sinalização, Tira de Bagageiro Acolchoada";"Filtro de Cabine Amarelado"
"Viseira de Quarentena Verde";"Atirador";"HEAD";"Viseira";"5";"RARE";"Zona de Quarentena 9";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Casco de Contenção Pesada + Forro Antimordida Tático";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Contenção Pesada + Forro Antimordida Tático + Visor de Quarentena";"Casco de Contenção Pesada, Forro Antimordida Tático";"Visor de Quarentena"
"Viseira de Vapor Cinzento";"Atirador";"HEAD";"Viseira";"6";"RARE";"Refinaria do Pó Cinzento";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Máscara de Solda Pesada + Gola de Borracha Queimada";"2";"usa 2 material(is) de gathering; alvo: 3";"Máscara de Solda Pesada + Gola de Borracha Queimada + Filtro de Vapor Ressecado";"Máscara de Solda Pesada, Gola de Borracha Queimada";"Filtro de Vapor Ressecado"
"Viseira Antimotim Roxa";"Atirador";"HEAD";"Viseira";"7";"EPIC";"Avenida dos Caídos";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Casco de Capacete de Motim + Acolchoado Tático Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Capacete de Motim + Acolchoado Tático Rasgado + Microvisor de Campo Roxo";"Casco de Capacete de Motim, Acolchoado Tático Rasgado";"Microvisor de Campo Roxo"
"Viseira Helix de Rastreamento";"Atirador";"HEAD";"Viseira";"8";"EPIC";"Complexo Helix";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Cúpula de Proteção Helix + Revestimento de Polímero Craniano";"2";"usa 2 material(is) de gathering; alvo: 3";"Cúpula de Proteção Helix + Revestimento de Polímero Craniano + Módulo Cerâmico Helix (Contenção T8 Elmo)";"Cúpula de Proteção Helix, Revestimento de Polímero Craniano";"Módulo Cerâmico Helix (Contenção T8 Elmo)"
"Viseira Carmesim da Necrópole";"Atirador";"HEAD";"Viseira";"9";"LEGENDARY";"Necrópole Industrial";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Casco Titânico Industrial + Trama de Fibra Craniana";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco Titânico Industrial + Trama de Fibra Craniana + Visor Carmesim Selado";"Casco Titânico Industrial, Trama de Fibra Craniana";"Visor Carmesim Selado"
"Viseira do Marco Zero";"Atirador";"HEAD";"Viseira";"10";"LEGENDARY";"Marco Zero";"viseira, visor, lente, mira, filtro, capacete, casco, mascara";"Coroa Titânica do Marco + Forro de Fibra Escarlate";"2";"usa 2 material(is) de gathering; alvo: 3";"Coroa Titânica do Marco + Forro de Fibra Escarlate + Visor Rubro de Bioleitura";"Coroa Titânica do Marco, Forro de Fibra Escarlate";"Visor Rubro de Bioleitura"
"Jaqueta de Couro Furado";"Atirador";"ARMOR";"Jaqueta";"1";"COMMON";"Subúrbio Silencioso";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Calça Cargo Rasgada + Placa de Porta Leve";"2";"usa 2 material(is) de gathering; alvo: 3";"Calça Cargo Rasgada + Placa de Porta Leve + Jaqueta Remendada";"Calça Cargo Rasgada, Placa de Porta Leve";"Jaqueta Remendada"
"Jaqueta de Oficina Oxidada";"Atirador";"ARMOR";"Jaqueta";"2";"COMMON";"Distrito da Ferrugem";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Bainha de Uniforme Gasta (Patrulha T2 Pernas) + Lataria Enferrujada";"2";"usa 2 material(is) de gathering; alvo: 3";"Bainha de Uniforme Gasta (Patrulha T2 Pernas) + Lataria Enferrujada + Colete de Operário Gasto";"Bainha de Uniforme Gasta (Patrulha T2 Pernas), Lataria Enferrujada";"Colete de Operário Gasto"
"Jaqueta de Resgate Clínico";"Atirador";"ARMOR";"Jaqueta";"3";"UNCOMMON";"Hospital Santa Ruína";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Acolchoado de Maca (Patrulha T3 Pernas) + Estrutura de Maca Dobrada";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca (Patrulha T3 Pernas) + Estrutura de Maca Dobrada + Placa de Isolamento Clínico";"Acolchoado de Maca (Patrulha T3 Pernas), Estrutura de Maca Dobrada";"Placa de Isolamento Clínico"
"Jaqueta de Patrulha do Terminal";"Atirador";"ARMOR";"Jaqueta";"4";"UNCOMMON";"Terminal dos Esquecidos";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Capuz de Passageiro Desfiado + Painel de Bagageiro Amassado";"2";"usa 2 material(is) de gathering; alvo: 3";"Capuz de Passageiro Desfiado + Painel de Bagageiro Amassado + Forro de Assento Rasgado";"Capuz de Passageiro Desfiado, Painel de Bagageiro Amassado";"Forro de Assento Rasgado"
"Jaqueta de Quarentena Balística";"Atirador";"ARMOR";"Jaqueta";"5";"RARE";"Zona de Quarentena 9";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Manguito Antimordida Leve (Patrulha T5 Pés) + Painel de Barreira Selada";"2";"usa 2 material(is) de gathering; alvo: 3";"Manguito Antimordida Leve (Patrulha T5 Pés) + Painel de Barreira Selada + Colete Antimordida Rasgado";"Manguito Antimordida Leve (Patrulha T5 Pés), Painel de Barreira Selada";"Colete Antimordida Rasgado"
"Jaqueta de Refinaria Blindada";"Atirador";"ARMOR";"Jaqueta";"6";"RARE";"Refinaria do Pó Cinzento";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Avental Antióleo Reforçado + Placa de Caldeira Pesada";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental Antióleo Reforçado + Placa de Caldeira Pesada + Avental de Borracha Carbonizado (Coleta T6 Armadura)";"Avental Antióleo Reforçado, Placa de Caldeira Pesada";"Avental de Borracha Carbonizado (Coleta T6 Armadura)"
"Jaqueta Antimotim do Atirador";"Atirador";"ARMOR";"Jaqueta";"7";"EPIC";"Avenida dos Caídos";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Calha de Viatura Blindada + Placa Antimotim Recortada (Desmanche T7 Armadura)";"2";"usa 2 material(is) de gathering; alvo: 3";"Calha de Viatura Blindada + Placa Antimotim Recortada (Desmanche T7 Armadura) + Colete Tático Paramédico";"Calha de Viatura Blindada, Placa Antimotim Recortada (Desmanche T7 Armadura)";"Colete Tático Paramédico"
"Jaqueta Helix de Precisão";"Atirador";"ARMOR";"Jaqueta";"8";"EPIC";"Complexo Helix";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Carcaça de Atuador Helix + Carcaça Experimental Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Carcaça de Atuador Helix + Carcaça Experimental Helix + Interface de Camuflagem Helix";"Carcaça de Atuador Helix, Carcaça Experimental Helix";"Interface de Camuflagem Helix"
"Jaqueta Titânica da Necrópole";"Atirador";"ARMOR";"Jaqueta";"9";"LEGENDARY";"Necrópole Industrial";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Coluna Titânica de Impacto + Couraça Titânica Industrial";"2";"usa 2 material(is) de gathering; alvo: 3";"Coluna Titânica de Impacto + Couraça Titânica Industrial + Malha de Fibra Médica";"Coluna Titânica de Impacto, Couraça Titânica Industrial";"Malha de Fibra Médica"
"Jaqueta do Último Disparo";"Atirador";"ARMOR";"Jaqueta";"10";"LEGENDARY";"Marco Zero";"jaqueta, retalho, lona, couro, tecido, forro, placa, portao";"Fibra Escarlate de Tração (Patrulha T10 Pés) + Placas Titânicas do Marco";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra Escarlate de Tração (Patrulha T10 Pés) + Placas Titânicas do Marco + Manta de Fibra Rubra (Coleta T10 Armadura)";"Fibra Escarlate de Tração (Patrulha T10 Pés), Placas Titânicas do Marco";"Manta de Fibra Rubra (Coleta T10 Armadura)"
"Cargueiras de Rua Rasgadas";"Atirador";"PANTS";"Cargueiras";"1";"COMMON";"Subúrbio Silencioso";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Apoio de Madeira Rachado + Bolso de Munição Furado";"2";"usa 2 material(is) de gathering; alvo: 3";"Apoio de Madeira Rachado + Bolso de Munição Furado + Retalho de Calça Grossa";"Apoio de Madeira Rachado, Bolso de Munição Furado";"Retalho de Calça Grossa"
"Cargueiras de Oficina Oleosa";"Atirador";"PANTS";"Cargueiras";"2";"COMMON";"Distrito da Ferrugem";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Casco de Solda Enferrujado + Porta-cartuchos Oxidado";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Solda Enferrujado + Porta-cartuchos Oxidado + Bainha de Uniforme Escura";"Casco de Solda Enferrujado, Porta-cartuchos Oxidado";"Bainha de Uniforme Escura"
"Cargueiras de Maca de Campo";"Atirador";"PANTS";"Cargueiras";"3";"UNCOMMON";"Hospital Santa Ruína";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Acolchoado de Maca (Patrulha T3 Pernas) + Estojo de Dardos Clínicos";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado de Maca (Patrulha T3 Pernas) + Estojo de Dardos Clínicos + Acolchoado de Maca (Coleta T3 Pernas)";"Acolchoado de Maca (Patrulha T3 Pernas), Estojo de Dardos Clínicos";"Acolchoado de Maca (Coleta T3 Pernas)"
"Cargueiras de Embarque Tático";"Atirador";"PANTS";"Cargueiras";"4";"UNCOMMON";"Terminal dos Esquecidos";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Tapete de Embarque Desfiado (Patrulha T4 Pernas) + Bolsa de Cartuchos de Sinalização";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Embarque Desfiado (Patrulha T4 Pernas) + Bolsa de Cartuchos de Sinalização + Tapete de Embarque Desfiado (Coleta T4 Pernas)";"Tapete de Embarque Desfiado (Patrulha T4 Pernas), Bolsa de Cartuchos de Sinalização";"Tapete de Embarque Desfiado (Coleta T4 Pernas)"
"Cargueiras de Quarentena Verde";"Atirador";"PANTS";"Cargueiras";"5";"RARE";"Zona de Quarentena 9";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Acolchoado Antimordida (Patrulha T5 Pernas) + Clip de Cápsulas Verdes";"2";"usa 2 material(is) de gathering; alvo: 3";"Acolchoado Antimordida (Patrulha T5 Pernas) + Clip de Cápsulas Verdes + Sensor de Gás Verde (Tecnovarredura T5 Pernas)";"Acolchoado Antimordida (Patrulha T5 Pernas), Clip de Cápsulas Verdes";"Sensor de Gás Verde (Tecnovarredura T5 Pernas)"
"Cargueiras de Pó Cinzento";"Atirador";"PANTS";"Cargueiras";"6";"RARE";"Refinaria do Pó Cinzento";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Avental de Borracha Carbonizado (Patrulha T6 Pernas) + Estojo de Munição Química";"2";"usa 2 material(is) de gathering; alvo: 3";"Avental de Borracha Carbonizado (Patrulha T6 Pernas) + Estojo de Munição Química + Relé de Refinaria";"Avental de Borracha Carbonizado (Patrulha T6 Pernas), Estojo de Munição Química";"Relé de Refinaria"
"Cargueiras de Patrulha Mutagênica";"Atirador";"PANTS";"Cargueiras";"7";"EPIC";"Avenida dos Caídos";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Joelheira Tática Rasgada (Patrulha T7 Pernas) + Pente Balístico Roxo";"2";"usa 2 material(is) de gathering; alvo: 3";"Joelheira Tática Rasgada (Patrulha T7 Pernas) + Pente Balístico Roxo + Joelheira Tática Rasgada (Coleta T7 Pernas)";"Joelheira Tática Rasgada (Patrulha T7 Pernas), Pente Balístico Roxo";"Joelheira Tática Rasgada (Coleta T7 Pernas)"
"Cargueiras Articuladas Helix";"Atirador";"PANTS";"Cargueiras";"8";"EPIC";"Complexo Helix";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Polímero Articulado Silencioso + Cartucho Modular Helix";"2";"usa 2 material(is) de gathering; alvo: 3";"Polímero Articulado Silencioso + Cartucho Modular Helix + Atuador de Joelho Helix";"Polímero Articulado Silencioso, Cartucho Modular Helix";"Atuador de Joelho Helix"
"Cargueiras Carmesim de Fibra";"Atirador";"PANTS";"Cargueiras";"9";"LEGENDARY";"Necrópole Industrial";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Correia de Fibra Tática + Cilindro de Munição Carmesim";"2";"usa 2 material(is) de gathering; alvo: 3";"Correia de Fibra Tática + Cilindro de Munição Carmesim + Câmara de Movimento Carmesim";"Correia de Fibra Tática, Cilindro de Munição Carmesim";"Câmara de Movimento Carmesim"
"Cargueiras do Marco Zero";"Atirador";"PANTS";"Cargueiras";"10";"LEGENDARY";"Marco Zero";"bolso, cinto, municao, cinta, fita, bolsa, calca, jeans";"Fibra Rubra Articulada (Patrulha T10 Pernas) + Porta-cargas do Marco";"2";"usa 2 material(is) de gathering; alvo: 3";"Fibra Rubra Articulada (Patrulha T10 Pernas) + Porta-cargas do Marco + Módulo de Passo Final";"Fibra Rubra Articulada (Patrulha T10 Pernas), Porta-cargas do Marco";"Módulo de Passo Final"
"Coturnos de Patrulha Gasta";"Atirador";"BOOTS";"Coturnos";"1";"COMMON";"Subúrbio Silencioso";"bota, coturno, sola, couro, biqueira, cordao, tenis, cadaco";"Couro de Coturno Gasto + Biqueira de Lata Amassada";"2";"usa 2 material(is) de gathering; alvo: 3";"Couro de Coturno Gasto + Biqueira de Lata Amassada + Couro de Bota Gasto";"Couro de Coturno Gasto, Biqueira de Lata Amassada";"Couro de Bota Gasto"
"Coturnos de Ferrugem Baixa";"Atirador";"BOOTS";"Coturnos";"2";"COMMON";"Distrito da Ferrugem";"bota, coturno, sola, couro, biqueira, cordao, tenis, cadaco";"Cadarço de Uniforme Gasto (Patrulha T2 Pés) + Cravos de Ferro Oxidados";"2";"usa 2 material(is) de gathering; alvo: 3";"Cadarço de Uniforme Gasto (Patrulha T2 Pés) + Cravos de Ferro Oxidados + Sensor de Porta Oxidado";"Cadarço de Uniforme Gasto (Patrulha T2 Pés), Cravos de Ferro Oxidados";"Sensor de Porta Oxidado"
"Coturnos de Enfermaria Tática";"Atirador";"BOOTS";"Coturnos";"3";"UNCOMMON";"Hospital Santa Ruína";"bota, coturno, sola, couro, biqueira, cordao, tenis, cadaco";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés) + Estribo de Leito Clínico";"2";"usa 2 material(is) de gathering; alvo: 3";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés) + Estribo de Leito Clínico + Sensor de Oxímetro";"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés), Estribo de Leito Clínico";"Sensor de Oxímetro"
"Coturnos de Terminal Quebrado";"Atirador";"BOOTS";"Coturnos";"4";"UNCOMMON";"Terminal dos Esquecidos";"bota, coturno, sola, couro, biqueira, cordao, tenis, cadaco";"Tapete de Piso Emborrachado (Patrulha T4 Pés) + Rolete de Esteira de Bagagem";"2";"usa 2 material(is) de gathering; alvo: 3";"Tapete de Piso Emborrachado (Patrulha T4 Pés) + Rolete de Esteira de Bagagem + Manta Isolante de Cabine";"Tapete de Piso Emborrachado (Patrulha T4 Pés), Rolete de Esteira de Bagagem";"Manta Isolante de Cabine"
"Coturnos de Quarentena Verde";"Atirador";"BOOTS";"Coturnos";"5";"RARE";"Zona de Quarentena 9";"bota, coturno, sola, couro, biqueira, cordao, tenis, cadaco";"Manguito Antimordida Leve (Patrulha T5 Pés) + Reforço de Barreira Selada";"2";"usa 2 material(is) de gathering; alvo: 3";"Manguito Antimordida Leve (Patrulha T5 Pés) + Reforço de Barreira Selada + Detector de Gás Verde";"Manguito Antimordida Leve (Patrulha T5 Pés), Reforço de Barreira Selada";"Detector de Gás Verde"
"Coturnos de Refinaria Cinzenta";"Atirador";"BOOTS";"Coturnos";"6";"RARE";"Refinaria do Pó Cinzento";"bota, coturno, sola, couro, biqueira, cordao, tenis, cadaco";"Sola de Borracha Vulcanizada (Patrulha T6 Pés) + Placa de Piso de Refinaria";"2";"usa 2 material(is) de gathering; alvo: 3";"Sola de Borracha Vulcanizada (Patrulha T6 Pés) + Placa de Piso de Refinaria + Sola de Borracha Vulcanizada (Coleta T6 Pés)";"Sola de Borracha Vulcanizada (Patrulha T6 Pés), Placa de Piso de Refinaria";"Sola de Borracha Vulcanizada (Coleta T6 Pés)"
